host,dopant,site,ad,BC-32a-d,BW-32a-d,BF-32a-d,BC-32a-s,BW-32a-s,BF-32a-s,BC-32a-p,BW-32a-p,BF-32a-p,TC-32a,TC-32a-s,TC-32a-p,TC-32a-d,BC-31a-d,BW-31a-d,BF-31a-d,BC-31a-s,BW-31a-s,BF-31a-s,BC-31a-p,BW-31a-p,BF-31a-p,TC-31a,TC-31a-s,TC-31a-p,TC-31a-d,FE-x1,TC-31a-del,TC-32a-del,ZPP-s-h-ZPP-s-dp-del,ZPP-p-h-ZPP-p-dp-del,ZPP-d-h-ZPP-d-dp-del,CR-h-CR-dp-del,MR-h-MR-dp-del,AR-h-AR-dp-del,VdWR-h-VdWR-dp-del,NE-s-h-NE-s-dp-del,NE-p-h-NE-p-dp-del,NE-d-h-NE-d-dp-del,GCN,Z-am,VE-am,FIE-wm,EA-wm,EN-wm,EN-gm,NSRS-h,NSRC-h,Z-h,G-h,EN-h,EA-h,AM-h,BP-h,MP-h,MV-h,WF-h,DP-h,Rho-h,HVap-h,LatCon-h,P-h,SH-h,TCon-h,HF-h,FIE-h,NSRS-dp,NSRC-dp,Z-dp,G-dp,EN-dp,EA-dp,AM-dp,BP-dp,MP-dp,MV-dp,WF-dp,DP-dp,Rho-dp,HVap-dp,LatCon-dp,P-dp,SH-dp,TCon-dp,HF-dp,FIE-dp,e_ads,sys
Ag,Rh,t1,CO,-0.681022447,1.374384279,0.854680104,-0.130072389,3.780575938,0.507151359,0.625808357,3.245849007,0.365634241,17.3255,2.2932,6.6306,8.4017,-3.735646539,1.087267575,0.986920469,0.742886217,4.043420479,0.407901346,0.789730715,5.977252189,0.311460118,10.9308,0.4078,0.7077,9.8152,1.032959223,-0.0451,0.3494,-0.065,-0.08,-0.035,3,9,-8,1,2,0,2,7.5,45.0,9.0,7.5527672,1.2721568,2.0,2.28,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,3.4,6.6395,45,9,2.28,1.142892,102.9055,3968,2237.0,8.28,5.4,66.0,12.4,495,3.8,2.28,0.243,150.0,21.7,7.4589,-2.02,rh-ag111-t1
Ag,Rh,h2,CO,-0.681022447,1.374384279,0.854680104,-0.130072389,3.780575938,0.507151359,0.625808357,3.245849007,0.365634241,17.3255,2.2932,6.6306,8.4017,-3.735646539,1.087267575,0.986920469,0.742886217,4.043420479,0.407901346,0.789730715,5.977252189,0.311460118,10.9308,0.4078,0.7077,9.8152,1.032959223,-0.0451,0.3494,-0.065,-0.08,-0.035,3,9,-8,1,2,0,2,7.5,47.0,11.0,7.5527672,1.2721568,2.0,1.93,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,3.4,6.6395,45,9,2.28,1.142892,102.9055,3968,2237.0,8.28,5.4,66.0,12.4,495,3.8,2.28,0.243,150.0,21.7,7.4589,-0.2,rh-ag111-h2
Ag,Rh,f2,CO,-0.681022447,1.374384279,0.854680104,-0.130072389,3.780575938,0.507151359,0.625808357,3.245849007,0.365634241,17.3255,2.2932,6.6306,8.4017,-3.735646539,1.087267575,0.986920469,0.742886217,4.043420479,0.407901346,0.789730715,5.977252189,0.311460118,10.9308,0.4078,0.7077,9.8152,1.032959223,-0.0451,0.3494,-0.065,-0.08,-0.035,3,9,-8,1,2,0,2,6.95,47.0,11.0,7.5527672,1.2721568,2.0,1.93,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,3.4,6.6395,45,9,2.28,1.142892,102.9055,3968,2237.0,8.28,5.4,66.0,12.4,495,3.8,2.28,0.243,150.0,21.7,7.4589,-0.19,rh-ag111-f2
Ag,Pt,t1,CO,-1.46924312,1.428683437,0.926780094,0.225771594,3.930074815,0.452462985,0.784803703,3.135251054,0.35033888,10.3192,0.4962,0.6989,9.1241,-3.754633952,1.044829075,0.986895771,0.865747629,3.705029602,0.391361875,1.134986702,3.106363636,0.313805929,10.9372,0.4017,0.7177,9.8178,0.110494595,-0.0387,0.3387,-0.195,-0.13,-0.125,9,4,-5,-2,2,-6,-9,7.5,78.0,10.0,7.8527532,1.4685994,1.984,2.2,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,-1.23,pt-ag111-t1
Ag,Pt,h2,CO,-1.46924312,1.428683437,0.926780094,0.225771594,3.930074815,0.452462985,0.784803703,3.135251054,0.35033888,10.3192,0.4962,0.6989,9.1241,-3.754633952,1.044829075,0.986895771,0.865747629,3.705029602,0.391361875,1.134986702,3.106363636,0.313805929,10.9372,0.4017,0.7177,9.8178,0.110494595,-0.0387,0.3387,-0.195,-0.13,-0.125,9,4,-5,-2,2,-6,-9,7.5,47.0,11.0,7.8527532,1.4685994,1.984,1.93,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,-0.19,pt-ag111-h2
Ag,Pt,f2,CO,-1.46924312,1.428683437,0.926780094,0.225771594,3.930074815,0.452462985,0.784803703,3.135251054,0.35033888,10.3192,0.4962,0.6989,9.1241,-3.754633952,1.044829075,0.986895771,0.865747629,3.705029602,0.391361875,1.134986702,3.106363636,0.313805929,10.9372,0.4017,0.7177,9.8178,0.110494595,-0.0387,0.3387,-0.195,-0.13,-0.125,9,4,-5,-2,2,-6,-9,6.95,47.0,11.0,7.8527532,1.4685994,1.984,1.93,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,-0.18,pt-ag111-f2
Ag,Ni,t1,CO,-0.488609283,0.956167475,0.901528508,0.328460908,3.773289415,0.432913383,0.585219392,3.052989787,0.358486614,10.0712,0.3865,0.7735,8.9113,-3.775423796,1.010873078,0.987416666,0.53064529,3.575986788,0.42686296,0.957965862,2.977414844,0.326478503,10.9486,0.4147,0.7171,9.8168,1.016943276,-0.0273,0.1251,0.085,0.11,0.19,21,19,-4,14,2,6,12,7.5,28.0,10.0,7.5889626,1.27501064,1.926,1.91,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,4.05,5.7108,28,10,1.91,1.1571612,58.6934,3186,1728.0,6.59,5.32,49.0,8.9,378,3.52,1.91,0.444,90.9,17.2,7.639877,-1.58,ni-ag111-t1
Ag,Ni,h2,CO,-0.488609283,0.956167475,0.901528508,0.328460908,3.773289415,0.432913383,0.585219392,3.052989787,0.358486614,10.0712,0.3865,0.7735,8.9113,-3.775423796,1.010873078,0.987416666,0.53064529,3.575986788,0.42686296,0.957965862,2.977414844,0.326478503,10.9486,0.4147,0.7171,9.8168,1.016943276,-0.0273,0.1251,0.085,0.11,0.19,21,19,-4,14,2,6,12,7.5,47.0,11.0,7.5889626,1.27501064,1.926,1.93,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,4.05,5.7108,28,10,1.91,1.1571612,58.6934,3186,1728.0,6.59,5.32,49.0,8.9,378,3.52,1.91,0.444,90.9,17.2,7.639877,-0.19,ni-ag111-h2
Ag,Ni,f2,CO,-0.488609283,0.956167475,0.901528508,0.328460908,3.773289415,0.432913383,0.585219392,3.052989787,0.358486614,10.0712,0.3865,0.7735,8.9113,-3.775423796,1.010873078,0.987416666,0.53064529,3.575986788,0.42686296,0.957965862,2.977414844,0.326478503,10.9486,0.4147,0.7171,9.8168,1.016943276,-0.0273,0.1251,0.085,0.11,0.19,21,19,-4,14,2,6,12,6.95,47.0,11.0,7.5889626,1.27501064,1.926,1.93,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,4.05,5.7108,28,10,1.91,1.1571612,58.6934,3186,1728.0,6.59,5.32,49.0,8.9,378,3.52,1.91,0.444,90.9,17.2,7.639877,-0.19,ni-ag111-f2
Ag,Ni,h1,CO,-0.488609283,0.956167475,0.901528508,0.328460908,3.773289415,0.432913383,0.585219392,3.052989787,0.358486614,10.0712,0.3865,0.7735,8.9113,-3.775423796,1.010873078,0.987416666,0.53064529,3.575986788,0.42686296,0.957965862,2.977414844,0.326478503,10.9486,0.4147,0.7171,9.8168,1.016943276,-0.0273,0.1251,0.085,0.11,0.19,21,19,-4,14,2,6,12,7.5,40.66666667,10.66666667,7.5889626,1.27501064,1.926,1.923310172,3.7,6.7555,47,11,1.93,1.304473,107.8682,2435,1234.93,10.27,4.64,55.0,10.5,255,4.09,1.93,0.235,429.0,11.3,7.576234,4.05,5.7108,28,10,1.91,1.1571612,58.6934,3186,1728.0,6.59,5.32,49.0,8.9,378,3.52,1.91,0.444,90.9,17.2,7.639877,-0.19,ni-ag111-b3
